account_number,name,type,parent_account_number,hierarchy_level,is_detail_account,is_standard,chart_version
1,Tillgångar,asset,,1,0,1,2024
10,Immateriella anläggningstillgångar,asset,1,2,0,1,2024
101,Utvecklingsutgifter,asset,10,3,0,1,2024
1010,Utvecklingsutgifter,asset,101,4,1,1,2024
1011,Balanserade utgifter för forskning och utveckling,asset,101,4,1,1,2024
1012,Balanserade utgifter för programvaror,asset,101,4,1,1,2024
1018,Ackumulerade nedskrivningar på balanserade utgifter,asset,101,4,1,1,2024
1019,Ackumulerade avskrivningar på balanserade utgifter,asset,101,4,1,1,2024
102,Koncessioner m.m.,asset,10,3,0,1,2024
1020,Koncessioner m.m.,asset,102,4,1,1,2024
1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset,102,4,1,1,2024
1029,Ackumulerade avskrivningar på koncessioner m.m.,asset,102,4,1,1,2024
103,Patent,asset,10,3,0,1,2024
1030,Patent,asset,103,4,1,1,2024
1038,Ackumulerade nedskrivningar på patent,asset,103,4,1,1,2024
1039,Ackumulerade avskrivningar på patent,asset,103,4,1,1,2024
104,Licenser,asset,10,3,0,1,2024
1040,Licenser,asset,104,4,1,1,2024
1048,Ackumulerade nedskrivningar på licenser,asset,104,4,1,1,2024
1049,Ackumulerade avskrivningar på licenser,asset,104,4,1,1,2024
105,Varumärken,asset,10,3,0,1,2024
1050,Varumärken,asset,105,4,1,1,2024
1058,Ackumulerade nedskrivningar på varumärken,asset,105,4,1,1,2024
1059,Ackumulerade avskrivningar på varumärken,asset,105,4,1,1,2024
106,"Hyresrätter, tomträtter och liknande",asset,10,3,0,1,2024
1060,"Hyresrätter, tomträtter och liknande",asset,106,4,1,1,2024
1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande",asset,106,4,1,1,2024
1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande",asset,106,4,1,1,2024
107,Goodwill,asset,10,3,0,1,2024
1070,Goodwill,asset,107,4,1,1,2024
1078,Ackumulerade nedskrivningar på goodwill,asset,107,4,1,1,2024
1079,Ackumulerade avskrivningar på goodwill,asset,107,4,1,1,2024
108,Förskott för immateriella anläggningstillgångar,asset,10,3,0,1,2024
1080,Förskott för immateriella anläggningstillgångar,asset,108,4,1,1,2024
1081,Pågående projekt för immateriella anläggningstillgångar,asset,108,4,1,1,2024
1088,Förskott för immateriella anläggningstillgångar,asset,108,4,1,1,2024
11,Byggnader och mark,asset,1,2,0,1,2024
111,Byggnader,asset,11,3,0,1,2024
1110,Byggnader,asset,111,4,1,1,2024
1111,Byggnader på egen mark,asset,111,4,1,1,2024
1112,Byggnader på annans mark,asset,111,4,1,1,2024
1118,Ackumulerade nedskrivningar på byggnader,asset,111,4,1,1,2024
1119,Ackumulerade avskrivningar på byggnader,asset,111,4,1,1,2024
112,Förbättringsutgifter på annans fastighet,asset,11,3,0,1,2024
1120,Förbättringsutgifter på annans fastighet,asset,112,4,1,1,2024
1129,Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet,asset,112,4,1,1,2024
113,Mark,asset,11,3,0,1,2024
1130,Mark,asset,113,4,1,1,2024
114,Tomter och obebyggda markområden,asset,11,3,0,1,2024
1140,Tomter och obebyggda markområden,asset,114,4,1,1,2024
115,Markanläggningar,asset,11,3,0,1,2024
1150,Markanläggningar,asset,115,4,1,1,2024
1158,Ackumulerade nedskrivningar på markanläggningar,asset,115,4,1,1,2024
1159,Ackumulerade avskrivningar på markanläggningar,asset,115,4,1,1,2024
118,Pågående nyanläggningar och förskott för byggnader och mark,asset,11,3,0,1,2024
1180,Pågående nyanläggningar och förskott för byggnader och mark,asset,118,4,1,1,2024
1181,"Pågående ny-, till- och ombyggnad",asset,118,4,1,1,2024
1188,Förskott för byggnader och mark,asset,118,4,1,1,2024
12,Maskiner och inventarier,asset,1,2,0,1,2024
121,Maskiner och andra tekniska anläggningar,asset,12,3,0,1,2024
1210,Maskiner och andra tekniska anläggningar,asset,121,4,1,1,2024
1211,Maskiner,asset,121,4,1,1,2024
1213,Andra tekniska anläggningar,asset,121,4,1,1,2024
1218,Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar,asset,121,4,1,1,2024
1219,Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar,asset,121,4,1,1,2024
122,Inventarier och verktyg,asset,12,3,0,1,2024
1220,Inventarier och verktyg,asset,122,4,1,1,2024
1221,Inventarier,asset,122,4,1,1,2024
1222,Byggnadsinventarier,asset,122,4,1,1,2024
1223,Markinventarier,asset,122,4,1,1,2024
1225,Verktyg,asset,122,4,1,1,2024
1228,Ackumulerade nedskrivningar på inventarier och verktyg,asset,122,4,1,1,2024
1229,Ackumulerade avskrivningar på inventarier och verktyg,asset,122,4,1,1,2024
123,Installationer,asset,12,3,0,1,2024
1230,Installationer,asset,123,4,1,1,2024
1231,Installationer på egen fastighet,asset,123,4,1,1,2024
1232,Installationer på annans fastighet,asset,123,4,1,1,2024
1238,Ackumulerade nedskrivningar på installationer,asset,123,4,1,1,2024
1239,Ackumulerade avskrivningar på installationer,asset,123,4,1,1,2024
124,Bilar och andra transportmedel,asset,12,3,0,1,2024
1240,Bilar och andra transportmedel,asset,124,4,1,1,2024
1241,Personbilar,asset,124,4,1,1,2024
1242,Lastbilar,asset,124,4,1,1,2024
1243,Truckar,asset,124,4,1,1,2024
1244,Arbetsmaskiner,asset,124,4,1,1,2024
1245,Traktorer,asset,124,4,1,1,2024
1246,"Motorcyklar, mopeder och skotrar",asset,124,4,1,1,2024
1247,"Båtar, flygplan och helikoptrar",asset,124,4,1,1,2024
1248,Ackumulerade nedskrivningar på bilar och andra transportmedel,asset,124,4,1,1,2024
